,questions,answers,correct_answers
549,"Which film has the director born earlier, To Walk With Lions or The Grizzlies?",To Walk With Lions.,To Walk With Lions
550,What nationality is Isabella Of England's mother?,French.,France
551,"Which film has the director who is older, Villa!! or Sons Of Ingmar?",Sons of Ingmar.,Sons Of Ingmar
552,"Who lived longer, Huchtenburg or Benjamin Nottingham Webster?","The context does not provide information about Huchtenburg's lifespan, so it cannot be determined who lived longer.",Huchtenburg
553,Where was the mother of Louise Sophie Of Hanau-Lichtenberg born?,Strasbourg.,Strasbourg
554,"Who was born later, Anna Margarete Stegmann or Mouloud Feraoun?",Anna Margarete Stegmann.,Mouloud Feraoun
555,"Who is the paternal grandmother of Prince Robert, Duke Of Chartres?","The context does not provide information about the paternal grandmother of Prince Robert, Duke Of Chartres.",Maria Amalia of Naples and Sicily
556,"Who was born later, Ramón Corona or Ernest William Goodpasture?","The context does not provide information about Ramón Corona's birth date, so it cannot be determined who was born later.",Ernest William Goodpasture
557,Where was the place of death of the director of film Quatre-Vingt-Treize (Film)?,France.,Paris
558,Are Flora Lake and Rostoul Lake located in the same country?,No.,no
559,Who is Princess Florestine Of Monaco's paternal grandmother?,The context does not provide information about Princess Florestine Of Monaco's paternal grandmother.,Louise d'Aumont
560,"Which film was released more recently, Torrente 2: Misión En Marbella or The Heart Of New York (Film)?",Torrente 2: Misión En Marbella.,Torrente 2: Misión En Marbella
561,"Which film has the director born earlier, Main Tera Hero or Betrayed Women?",Main Tera Hero.,Betrayed Women
562,"Which album was released first, The Oak Ridge Boys Have Arrived or Beans And Fatback?",Beans And Fatback.,Beans And Fatback
563,"Which film whose director is younger, Slums Of Berlin or Phantom India?",Phantom India.,Phantom India
564,"Which film whose director was born first, Weird Woman or Secret Strings?",Secret Strings.,Secret Strings
565,Who is the mother of the director of film Atomised (Film)?,The context does not provide information about the mother of the director of film Atomised.,Gisela Elsner
566,When did Guglielma Pallavicini's mother die?,The context does not provide information on when Guglielma Pallavicini's mother died.,1323
567,"Which film has the director died earlier, Black Belly Of The Tarantula or Devil On Deck?",Black Belly Of The Tarantula.,Devil On Deck
568,What is the date of birth of Mohammed Bin Nawwaf Bin Abdulaziz's father?,The date of birth of Mohammed Bin Nawwaf Bin Abdulaziz's father is not provided in the context.,16 August 1932
569,What is the place of birth of the director of film Encino Man?,"Albuquerque, New Mexico.","Albuquerque, New Mexico"
570,"Which film has the director born later, Song Of The Open Road or Campaign Of Hate: Russia And Gay Propaganda?",Campaign Of Hate: Russia And Gay Propaganda.,Campaign Of Hate: Russia And Gay Propaganda
571,"Which film has the director who died later, The Olsen Gang In Jutland or Pathala Bhairavi?",The Olsen Gang In Jutland.,The Olsen Gang In Jutland
572,Who is Marcus Aemilius Lepidus (Executed 39)'s father-in-law?,Caligula.,Germanicus
573,"Which film came out earlier, The Champion Of Pontresina or The Bulleteers?",The Bulleteers.,The Champion Of Pontresina
574,Where was the place of burial of Kunigunde Of Poland's father?,The context does not provide information about the place of burial of Kunigunde Of Poland's father.,Wawel Cathedral
575,Who is Charles Xiii Of Sweden's paternal grandfather?,Michel Sørensen Hægstad.,"Christian August of Holstein-Gottorp, Prince of Eutin"
576,Which country the performer of song I Might Have Been Queen is from?,United States.,Swiss
577,"Who is the maternal grandfather of Conan Ii, Duke Of Brittany?","John II, Duke of Brittany.","Odo II, Count of Blois"
578,Where was the wife of Pierre-Marie Gault De Saint-Germain born?,Warsaw.,Warsaw
579,"Who is Henri Ii, Duke Of Nemours's paternal grandfather?","Jacques d'Armagnac, Duke of Nemours.",Jacques
580,"Which film whose director was born first, Gangster'S Boy or Torno A Vivere Da Solo?",Gangster'S Boy.,Gangster'S Boy
581,"Which film was released more recently, Il Marchio Di Kriminal or Nandhi?",Nandhi.,Nandhi
582,Where did Sultan Walad's father die?,The context does not provide information about where Sultan Walad's father died.,Konya
583,Where was the director of film Mister Scarface born?,"San Ferdinando di Puglia, Italy.",San Ferdinando di Puglia
584,Where was the place of death of Salin Mibaya's husband?,Switzerland.,Pyay
585,Are Paris Sewer Museum and Musée National Des Douanes located in the same country?,Yes.,yes
586,"Which film has the director died first, Let'S Live Again or Kummatty?",Kummatty.,Let'S Live Again
587,"Which film has the director who was born earlier, Thalapathi or Pour La Peau D'Un Flic?",Thalapathi.,Pour La Peau D'Un Flic
588,Who is Tekle Haymanot Ii's paternal grandfather?,Iyasu I.,Iyasu I
589,Where was the place of burial of the director of film Broadway Bad?,Westwood Village Memorial Park Cemetery in Los Angeles.,Westwood Village Memorial Park Cemetery
590,"What is the date of death of Matilda Of Boulogne, Duchess Of Brabant's mother?",25 July 1182.,25 July 1182
591,"Are Xavier Catholic College, Llandilo and Toowoomba Anglican School located in the same country?",Yes.,yes
592,What is the place of birth of the performer of song Are You Really Mine??,Berlin.,Camas
593,What nationality is Cecilia Renata Of Austria's husband?,Austrian.,Polish–Lithuanian Commonwealth
594,"Which film has the director born first, 84 Charing Cross Road (Film) or Emperor'S Ball?",Emperor's Ball.,Emperor'S Ball
595,Do director of film Just Married (1934 Film) and director of film The Thirteenth Commandment share the same nationality?,No.,yes
596,Who is the paternal grandfather of Eochaid Ailtlethan?,The context does not provide information about Eochaid Ailtlethan's paternal grandfather.,Connla Cáem
597,Are Les Misérables (1917 Film) and The Better 'Ole (1926 Film) both from the same country?,Yes.,yes
598,"What is the date of birth of Francis Otto, Duke Of Brunswick-Lüneburg's father?",1411.,27 June 1497
599,Where was the director of film The Naked Angel born?,Argentina.,Santiago del Estero
600,"Which film was released first, Assault On Dome 4 or The Battle Of The Rails?",The Battle Of The Rails.,The Battle Of The Rails
601,Where was the place of burial of Pareherwenemef's mother?,Sarre Anglo-Saxon cemetery.,QV66
602,Who is the maternal grandfather of Princess Helena Adelaide Of Schleswig-Holstein-Sonderburg-Glücksburg?,"Friedrich Wilhelm, Duke of Schleswig-Holstein-Sonderburg-Glücksburg.","Frederick VIII, Duke of Schleswig-Holstein"
603,"Who was born later, Zhang Mengying or Wolfgang Herrndorf?",Zhang Mengying.,Zhang Mengying
604,Which country Jessie Harlan Lincoln's father is from?,United States.,American
605,"Which film whose director is younger, Maine Pyaar Kyun Kiya? or Children Of The Streets?",Maine Pyaar Kyun Kiya?,Maine Pyaar Kyun Kiya?
606,"Where was the father of George Howard, 4Th Earl Of Suffolk born?",Saffron Walden.,Saffron Walden
607,"Which film has the director who was born later, Enjoy Yourselves or A Song To Remember?",Enjoy Yourselves.,A Song To Remember
608,Where was the mother of Elizabeth Stafford born?,Bethlehem.,English
609,What is the place of birth of the performer of song If You Want To Be My Woman?,Bronx.,Bakersfield
610,"Which film was released more recently, Hit Of The Show or The Incredibly Strange Creatures Who Stopped Living And Became Mixed-Up Zombies?",Hit Of The Show.,The Incredibly Strange Creatures Who Stopped Living And Became Mixed-Up Zombies
611,Who is the spouse of the performer of song Neurotic Society (Compulsory Mix)?,The context does not provide information about the performer of the song Neurotic Society (Compulsory Mix) or their spouse.,Rohan Marley
612,Where was the director of film Veera Thalattu born?,"Mallingapuram near Pannaipuram, Theni District, Tamil Nadu.",Theni
613,"Which film has the director born later, Tell It To The Bees or House Of The Black Death?",Tell It To The Bees.,Tell It To The Bees
614,Which country the director of film Brecha (2009 Film) is from?,Argentina.,Argentine
615,Where was the place of death of the director of film Basta Guardarla?,Rome.,Rome
616,"Which film has the director who died earlier, The Third Visitor or The Dangerous Dude?",The Dangerous Dude.,The Third Visitor
617,Who is the spouse of the director of film Min Kone Er Uskyldig?,Johan Jacobsen.,Annelise Hovmand
618,"Which film has the director born earlier, Amityville 3-D or The Soul'S Cycle?",Amityville 3-D.,The Soul'S Cycle
619,Where was the husband of Princess Alexandra Of Anhalt born?,Anhalt.,Rudolstadt
620,"Which film has the director who died later, Bloody Moon or The House Of Pulcini?",Bloody Moon.,Bloody Moon
621,"Which film was released more recently, Behind Locked Doors or Crossing Delancey?",Crossing Delancey.,Crossing Delancey
622,Are both directors of films The Black Corsair (1937 Film) and Paths Of War from the same country?,Yes.,yes
623,"Which film whose director is younger, Beat Girl or The White Squaw?",Beat Girl.,Beat Girl
624,"Which film has the director died earlier, Remember The Day or Cast Up By The Sea?",Cast Up By The Sea.,Cast Up By The Sea
625,Which country Princess Katherine Of Greece And Denmark's mother is from?,Germany.,German
626,Where was the director of film House In The Sun born?,"The context does not provide information about the director of the film House In The Sun, so a specific birthplace cannot be determined.",Béziers
627,"Do the movies Sweet Mama (Film) and Soy Andina, originate from the same country?",No.,yes
628,Where does the director of film Die Abfahrer work at?,Dortmund University of Applied Sciences and Arts.,Dortmund University of Applied Sciences and Arts
629,"Who is the paternal grandmother of Charles Stuart, 1St Earl Of Lennox?",Margaret Douglas.,Elizabeth Stewart
630,What is the cause of death of director of film She Asked For It?,Parkinson's disease.,Parkinson
631,"Who is Maurice De Berkeley, 4Th Baron Berkeley's maternal grandfather?","Thomas de Berkeley, 3rd Baron Berkeley.","Roger Mortimer, 1st Earl of March"
632,"Which country Æthelwald, Ealdorman Of East Anglia's wife is from?",England.,English
633,"Which film whose director is younger, Vadakakku Oru Hridayam or The $1,000,000 Reward?",Vadakakku Oru Hridayam.,Vadakakku Oru Hridayam
634,Where was the director of film Blood Father born?,Not specified in the context.,Paris
635,Who is the spouse of the director of film Zabak?,The context does not provide information about the director of film Zabak or their spouse.,Fearless Nadia
636,"Which film has the director who died later, Valentin The Good or A Daughter Of Two Worlds?",Valentin The Good.,Valentin The Good
637,Where was the father of Maurice De Saxe born?,Poland.,Dresden
638,"Which film has the director who was born later, Til Sæters or Ruben Guthrie?",Ruben Guthrie.,Ruben Guthrie
639,"Who was born later, Tsvetko Slavov or Marc Burrows?",Tsvetko Slavov.,Marc Burrows
640,Who is Alexandra Of Lithuania's father-in-law?,Siemowit III.,"Siemowit III, Duke of Masovia"
641,What is the place of birth of the director of film The Blue And White Lion?,Markranstädt.,Berlin
642,"Which film has the director who died later, The Monkey Talks or Varakatnam?",Varakatnam.,Varakatnam
643,What nationality is Claire Annabel Caroline Grant Duff's father?,British.,British
644,Where was the place of death of Princess Anne Charlotte Of Lorraine's mother?,"Nancy, France.",Commercy
645,Who was born first out of Pierre Gauvreau and Tit Liviu Chinezu?,Pierre Gauvreau.,Tit Liviu Chinezu
646,When is Princess Joséphine Marie Of Belgium's mother's birthday?,2 December.,17 November 1845
647,"Who is Infante Philip, Duke Of Calabria's paternal grandmother?",Inés Rodríguez Girón.,Elisabeth Farnese
648,Where was the place of death of the director of film We (1982 Film)?,Přerov.,Přerov
649,"Which album came out first, Sol Niger Within or The Magic Place?",Sol Niger Within.,Sol Niger Within
650,Which country the director of film Downloaded (Film) is from?,American.,American
651,Are The Finches and She Drew The Gun both from the same country?,Yes.,no
652,"Where did Joanna, Duchess Of Durazzo's mother die?","The context does not provide information about where Joanna, Duchess Of Durazzo's mother died.",Neapolitan
653,Who is the father-in-law of Ri Sol-Ju?,Kim Jong-il.,Kim Jong-il
654,"Which film has the director died later, All The Sins Of The Earth or Women In The Wind?",All The Sins Of The Earth.,All The Sins Of The Earth
655,"Who was born first, Patrik Lácha or Brad Booth?",Brad Booth.,Brad Booth
656,Where was the place of death of Lin Liguo's father?,"Öndörkhaan, Mongolia.",Öndörkhaan
657,Where was the place of death of the director of film Valley Of The Giants (Film)?,"New York, New York.",New York
658,"Who is younger, Jonetani Ralulu or Andre Blay?",Jonetani Ralulu.,Jonetani Ralulu
659,Who is Fernando Rodríguez De Castro's paternal grandfather?,García Ordóñez.,Fernando García de Hita
660,"Which film came out earlier, Gran Torino or Rivaaj?",Gran Torino.,Rivaaj
661,"Which film has the director who died first, Everybody'S Hobby or One Sunday Afternoon (1948 Film)?",Everybody's Hobby.,Everybody'S Hobby
662,Where was the director of film The Wedding Video (2003 Film) born?,"Wakefield, Michigan.",American
663,"Who is Sir William Gore, 3Rd Baronet's paternal grandfather?","Sir Ralph Gore, 2nd Baronet.","Sir Paul Gore, 1st Baronet"
664,Who is the mother of the founder of university Libera Università Internazionale Degli Studi Sociali Guido Carli?,Virginia Agnelli.,Virginia Bourbon del Monte
665,Who is the spouse of the director of film Worldly Goods?,Paul Bern.,Jean Harlow
666,What nationality is the director of film Vortex (1976 Film)?,Italian-French.,Italy
667,Where was the place of death of Elisabeth Of Moravia's mother?,Meissen.,Brno
668,"Who was born later, Charles Burls or George Hypolite?",George Hypolite.,George Hypolite
669,Who is the maternal grandfather of Princess Louise Of Belgium?,"Frederick Francis I, Grand Duke of Mecklenburg-Schwerin.","Archduke Joseph, Palatine of Hungary"
670,"Which film was released more recently, Horas Marcadas or Tiny Times 3?",Tiny Times 3.,Tiny Times 3
671,Who is the paternal grandfather of Sultan Al-Dawla?,Rukn al-Dawla.,'Adud al-Dawla
672,Where did Mate Meštrović's father graduate from?,Academy of Fine Arts Vienna.,Academy of Fine Arts Vienna
673,Which country the director of film Funny Games (2007 Film) is from?,Austria.,Austrian
674,Where does the composer of film Rivers And Tides work at?,Mills College.,Mills College
675,What nationality is the director of film Top Floor Girl?,British.,French
676,Where did the director of film Polish-Russian War (Film) study?,National Film School in Łódź.,National Film School in Łódź
677,Where did Roberto Civita's father die?,São Paulo.,São Paulo
678,"What is the date of death of Fitzroy Somerset, 5Th Baron Raglan's father?",3 May 1884.,14 September 1964
679,What is the place of birth of the director of film Martial Law (1991 Film)?,Merthyr Tydfil.,Memphis
680,"Which film was released more recently, Last Of The Long-Haired Boys or Age Of The Dragons?",Age Of The Dragons.,Age Of The Dragons
681,"Which film was released more recently, How Poets Are Enjoying Their Lives or Os Faroleiros?",How Poets Are Enjoying Their Lives.,How Poets Are Enjoying Their Lives
682,What is the place of birth of John F. Kennedy Jr.'s mother?,Massachusetts.,Southampton
683,Are both Flying Fifty-Five and Approaching Midnight from the same country?,No.,no
684,What nationality is the director of film Detachment (Film)?,British.,British
685,Where does the director of film Podokkhep work at?,The Norwegian Museum of Cultural History.,Florida Atlantic
686,Where does David Flair's father work at?,The context does not provide information about where David Flair's father works.,Total Nonstop Action Wrestling
687,Are Half Mile Lagoon and Lake Waitaki both located in the same country?,No.,yes
688,Who was born first out of Misaele Draunibaka and Ross Clark?,Ross Clark.,Ross Clark
689,"What is the date of birth of Augustus Paulet, 15Th Marquess Of Winchester's father?",24 November 1598.,3 June 1801
690,Where was the father of Nigel De Brus born?,"Carrick, Ayrshire, Scotland.",Writtle
691,Who is Hye Of Baekje's paternal grandfather?,King Seong.,Muryeong
692,Are Car Trouble (Film) and White Heat (1926 Film) both from the same country?,No.,yes
693,"Which film has the director who is older, Dialogues Of Exiles or Rhythm And Weep?",Rhythm And Weep.,Rhythm And Weep
694,"Who is older, William Henry Rodes Green or Eleanor Of Lancaster?",Eleanor Of Lancaster.,Eleanor Of Lancaster
695,"Which film has the director who died earlier, In The First Degree or The Sea God?",In The First Degree.,In The First Degree
696,"Who is the paternal grandfather of Gilbert De Umfraville, Earl Of Angus?",Richard de Umfraville.,Richard de Umfraville
697,"Who is the paternal grandmother of Reinald Iv, Duke Of Guelders And Jülich?",Sophie Berthout.,Joanna of Hainaut
698,"Which film has the director who died first, Another Language or Les Tontons Flingueurs?",Another Language.,Another Language
699,"Who is the paternal grandmother of Arthur Gore, 1St Earl Of Arran?",Emilia von Nassau.,Anne Gore
700,"Which film was released earlier, Farewell To The King or Brother Liu And Brother Wang On The Roads In Taiwan?",Farewell To The King.,Brother Liu And Brother Wang On The Roads In Taiwan
701,"Who lived longer, Bernhard Afinger or Melvin Kranzberg?",Bernhard Afinger.,Melvin Kranzberg
702,What is the place of birth of the director of film Samarpane?,Hunsur.,Hunsur
703,Where was the father of Princess Amelia Of Great Britain born?,Great Britain.,Hanover
704,Where did Rudra Mohammad Shahidullah's wife study at?,The context does not provide information about where Rudra Mohammad Shahidullah's wife studied.,Mymensingh Medical College
705,Are Walter E. Massey and Matt Horwich both from the same country?,No.,yes
706,What is the place of birth of the director of film A Gun & A Ring?,"Jaffna, Sri Lanka.","Jaffna, Sri Lanka"
707,"Who is Albert Iii, Prince Of Anhalt-Zerbst's paternal grandfather?","Albert I, Prince of Anhalt-Zerbst.","Albert I, Prince of Anhalt-Zerbst"
708,Where did Judith Of Swabia's mother die?,near Naples.,Roman
709,Where was the place of burial of Karomama I's husband?,The context does not provide information about the place of burial of Karomama I's husband.,Tanis
710,Which award the performer of song Beating Heart (Ellie Goulding Song) got?,"The context does not provide information about any awards received by Ellie Goulding for the song ""Beating Heart.""",BRIT Awards
711,What nationality is Prince Napoléon Bonaparte's father?,French.,French
712,Where was the founder of magazine Track & Field News born?,"San Diego, California.",San Diego
713,Why did the director of film Normande (Film) die?,complications from Parkinson's disease.,Parkinson's disease
714,"Which film has the director born later, The Man Who Murdered or Newness?",Newness.,Newness
715,Where did the director of film The Price Of Everything study?,The context does not provide information about where the director of The Price Of Everything studied.,Yale
716,What is the place of birth of the director of film Venus Makes Trouble?,"St. Louis, Missouri.",Jerseyville
717,"Which film has the director who was born later, Meraa Dost Meraa Dushman or Miles From Home?",Miles From Home.,Miles From Home
718,"Which film has the director born earlier, Pieces Of A Woman or Oriental Nights?",Oriental Nights.,Oriental Nights
719,Was Dudley Russell or Juan René Serrano born first?,Juan René Serrano was born first.,Dudley Russell
720,"Which film has the director who died later, The Lady Owner or Behind Prison Gates?",The Lady Owner.,Behind Prison Gates
721,Who is Olga Constantinovna Of Russia's maternal grandfather?,Grand Duke Konstantine Konstantinovich of Russia.,"Joseph, Duke of Saxe-Altenburg"
722,"Which film has the director died later, Taipei Story or The Ballad Of Cossack Golota?",The Ballad Of Cossack Golota.,Taipei Story
723,Where did Oleg Kerensky's father die?,Paris.,New York
724,"Who died earlier, Chiang Chung-Ling or George Andreadis?",George Andreadis.,Chiang Chung-Ling
725,Where was the husband of Mok Kwai-Lan born?,"Foshan City, Guangdong Province.",Foshan
726,"Did the movies Afraid Of The Dark and Smiley (2012 Film), originate from the same country?",No.,no
727,Are both Enmelen and Yelshanka located in the same country?,"The context does not provide information about the locations of Enmelen and Yelshanka, so it cannot be determined if they are in the same country.",yes
728,What is the cause of death of performer of song Blues Run The Game?,"The context does not provide information regarding the cause of death of Jackson C. Frank, the performer of ""Blues Run The Game.""",pneumonia
729,Are Freestylers and The Nouvelles both from the same country?,No.,yes
730,"Which film has the director who was born later, Eradu Rekhegalu or The Gentleman From Nowhere?",The Gentleman From Nowhere.,Eradu Rekhegalu
731,"Who is Eleanor Of England, Countess Of Leicester's paternal grandmother?",Isabella of Angoulême.,Eleanor of Aquitaine
732,Where was the director of film I'Ll Follow You Down born?,Australia.,Mississauga
733,Where was the place of burial of Princess Barbara Of Prussia's father?,Königsberg.,Esparza
734,"Which film has more directors, A Night Of Horror or The Whispering Shadow?",A Night Of Horror.,A Night Of Horror
735,"Who is younger, Vedran Purić or Jenő Kuti?","The ages of Vedran Purić and Jenő Kuti are not provided in the context, so it cannot be determined who is younger.",Vedran Purić
736,"Which film has the director died first, To Mary – With Love or Five Little Peppers And How They Grew?",Five Little Peppers And How They Grew.,To Mary – With Love
737,"Which film has the director born later, Where Are You? I'M Here or 11 Flowers?",Where Are You? I'M Here.,11 Flowers
738,Who is Countess Alexandra Von Zarnekau's paternal grandmother?,Not mentioned in the context.,Princess Therese of Nassau-Weilburg
739,"Which film was released earlier, Gangai Karai Paattu or God In Heaven... Arizona On Earth?",God In Heaven... Arizona On Earth.,God In Heaven... Arizona On Earth
740,"Where did Elisabeth Of Hesse, Electress Palatine's mother die?",Lauingen.,Kassel
741,What is the place of birth of the performer of song Thru Your Phone?,[Final Answer]: Unable to provide an answer with the given context.,Bronx
742,Where did Ulysses S. Grant Jr.'s father graduate from?,U.S. military academy (West Point).,Army
743,"Are the movies Amy (2015 Film) and Manhattan Angel, from the same country?",No.,no
744,What is the date of birth of Marie Jeanne Baptiste Of Savoy-Nemours's husband?,5 October 1754.,20 June 1634
745,Where was the director of film Rocket Attack U.S.A. born?,"Bakersfield, California.","Bakersfield, California"
746,When was the composer of song Hot Time In The Town Of Berlin born?,"March 14, 1848.","November 7, 1916"
747,Where was the place of burial of Lorenzo Cybo's mother?,St. Peter's Basilica.,St. Peter's Basilica
748,Are the directors of films Back To Back (1996 Film) and The White Hen both from the same country?,No.,yes
749,Where was the director of film Katka'S Reinette Apples born?,Rēzekne.,Rēzekne
750,"Who is the paternal grandmother of Renaud Iii, Count Of Soissons?",[Final Answer]: Unable to provide an answer with the given context.,"Adelaide, Countess of Soissons"
751,"Who is George Frederick, Count Of Erbach-Breuberg's paternal grandfather?","George III, Count of Erbach-Breuberg.","George III, Count of Erbach-Breuberg"
752,"Which film has the director died later, Dissolved And Effused or Here Comes The Groom?",Dissolved And Effused.,Dissolved And Effused
753,What is the place of birth of the director of film Chronicles Of A Dive Bomber?,Leningrad.,Leningrad
754,What nationality is the singer of Pre (Band)?,Japanese.,Japan
755,Who is Anna Of Nassau-Dillenburg (1541–1616)'s maternal grandmother?,Juliana of Stolberg.,Anna of Eppstein-Königstein
756,"Which film has the director who was born later, Fugitive Rage or Neapolitan Carousel?",Fugitive Rage.,Fugitive Rage
757,Who is the father-in-law of Prince Feodor Alexandrovich Of Russia?,Grand Duke Alexander Mikhailovich of Russia.,Grand Duke Paul Alexandrovich of Russia
758,Where did the director of film Battle Taxi die?,The context does not provide information about where the director of the film Battle Taxi died.,Moreno Valley
759,Are the directors of both films I Can'T Marry Them All and Come To The Stable from the same country?,No.,yes
760,Who was born first out of Johan Bardoul and Peter Seton Hay?,Peter Seton Hay.,Peter Seton Hay
761,"When did Philip Iii, Marquis Of Namur's father die?",31 January 1330.,31 January 1330
762,Who was born first out of Adnen Helali and Maria Poulsen?,Adnen Helali.,Adnen Helali
763,"Which film came out first, Legend Of The Sea Wolf or Irvine Welsh'S Ecstasy?",Legend Of The Sea Wolf.,Legend Of The Sea Wolf
764,Are both Lise Kristiansen and Bernt Lund from the same country?,No.,yes
765,What nationality is Kham Keut's father?,Libyan.,Lao
766,Where did the director of film 29+1 study?,Hong Kong Academy for Performing Arts.,Hong Kong Academy for Performing Arts
767,"Which film came out earlier, Desam or The Legend Of Paul And Paula?",The Legend Of Paul And Paula.,The Legend Of Paul And Paula
768,"Are the movies Seeing Red (1992 Film) and Wind From The Icy Country, from the same country?",No.,yes
769,"Are both mountains, Kunturwasa and Yerupaja Chico, located in the same country?","The context does not provide information about the locations of Kunturwasa and Yerupaja Chico, so it cannot be determined if they are in the same country.",yes
770,Which country the director of film Secrets Of A Door-To-Door Salesman is from?,United Kingdom.,United Kingdom
771,Where does the director of film The Witnesses work at?,Peabody Essex Museum.,Cahiers du cinéma
772,"Which film has the director who was born later, Young Buffalo Bill or The Lacquered Box?",The Lacquered Box.,Young Buffalo Bill
773,What is the cause of death of director of film The Street Of Illusion?,Not specified.,Parkinson
774,"Who was born first, Thomas Rolfe or Roger Miret?",The context does not provide information about the birth dates of Thomas Rolfe or Roger Miret.,Thomas Rolfe
775,Where was the father of Benjamin Lewis Vulliamy born?,England.,London
776,Where did the director of film Bridge Over The Elbe die?,The context does not provide information about the death of the director of the film Bridge Over The Elbe.,Madrid
777,Where did the director of film Mary Jane'S Pa die?,"New York, New York.",New York
778,"Who lived longer, Claes-Ulrik Winberg or André Piters?","The context does not provide information about Claes-Ulrik Winberg or André Piters, so I cannot determine who lived longer.",André Piters
779,What is the place of birth of Danielle Lineker's husband?,Leicester.,Leicester
780,Who is the father-in-law of Graham Smith (Māori Academic)?,The context does not provide information about Graham Smith's father-in-law.,Hirini Moko Mead
781,Where was the father of Gwen Graham born?,"Coral Gables, Florida.","Coral Gables, Florida"
782,"Which country François Louis, Prince Of Conti's father is from?",France.,French
783,What nationality is the composer of film Count Your Blessings (1959 Film)?,Italian.,German
784,Where did the director of film A Daughter Of Two Worlds die?,"New York, New York.",New York
785,"Which film has the director who is older, This Love Of Ours or The Red Siren?",This Love Of Ours.,This Love Of Ours
786,Was Ralf Wohlleben or Ilya Tyapkin born first?,Ilya Tyapkin.,Ralf Wohlleben
787,"Which film has the director who is older than the other, One Woman To Another or Come On, Rangers? ",One Woman To Another.,One Woman To Another
788,"Which film has the director born earlier, Helluva Good Luck or The Last House On The Beach?",Last House on Dead End Street.,The Last House On The Beach
789,"Which university was established first, Universidad Autónoma De La Laguna or Penang Free School?",Penang Free School.,Penang Free School
790,Where was the performer of song Det Brinner Ett Ljus born?,"Hagfors, Sweden.",Hagfors
791,Who is Wenceslaus Of Żagań's paternal grandfather?,Henry V of Iron.,Henry VIII the Sparrow
792,Do both directors of films Assassin'S Creed (Film) and Two Brothers Running have the same nationality?,No.,yes
793,Do both films: America Ammayi and Professor Pyarelal have the directors from the same country?,No.,yes
794,Where was the director of film Naked Violence (Film) born?,"San Ferdinando di Puglia, Italy.",San Ferdinando di Puglia
795,"What is the date of birth of Archduke Karl Pius Of Austria, Prince Of Tuscany's mother?",7 July 1878.,7 September 1868
796,"Which film has the director died earlier, The Romantic Age or Anything Once?",Anything Once.,Anything Once
797,Are Salla Huancane and Ichhu Rutuna located in the same country?,Yes.,yes
798,"Who is the maternal grandmother of Isabel De Verdun, Baroness Ferrers Of Groby?",Elizabeth de Clare.,Joan of Acre
799,"Which film has the producer died earlier, The Criminal (1960 Film) or A Soldier'S Oath?",A Soldier's Oath.,A Soldier'S Oath
800,"What is the place of birth of William Parr, 1St Marquess Of Northampton's mother?",Broughton.,Northamptonshire
801,What is the place of birth of Princess Lalla Meryem Of Morocco's mother?,Khenifra.,Khenifra
802,"Who is Louis Viii, Landgrave Of Hesse-Darmstadt's paternal grandmother?",Caroline of Hesse-Darmstadt.,Elisabeth Dorothea of Saxe-Gotha-Altenburg
803,Where was the performer of song Suicide Social born?,Nanterre.,Alençon
804,"Which film has the director died first, Forty Years or Two Mules For Sister Sara?",Two Mules For Sister Sara.,Forty Years
805,Who is the maternal grandfather of Agnès Of Navarre?,The context does not provide information about Agnès Of Navarre's maternal grandfather.,Louis X of France
806,Where was the place of death of the performer of song The Village Of St. Bernadette (Song)?,[Final Answer]: Unable to provide an answer with the given context.,"Branson, Missouri"
807,What nationality is Nawrahta Minsaw's father?,Burmese.,Toungoo Empire
808,Where did the composer of film Port Djema study?,The context does not provide information about where the composer of film Port Djema studied.,Peabody Conservatory
809,"Where was the place of death of the director of film A Man, A Woman, And A Bank?","Santa Barbara, California.","Santa Barbara, California"
810,"Which film has the director who was born later, Maneater Of Hydra or The Fighting Seabees?",Maneater Of Hydra.,Maneater Of Hydra
811,When was the company that published The Rip Off Review Of Western Culture founded?,1969.,1969
812,When is the founder of university Vermont Studio Center 's birthday?,"July 26, 1965.","January 26, 1955"
813,"Which film has the director who died earlier, Macario Against Zagomar or The Galloping Fish?",Macario Against Zagomar.,The Galloping Fish
814,Where was the place of death of the director of film Never The Twain (Film)?,"The context does not provide information about the place of death of the director of the film ""Never The Twain.""","Hamburg, Germany"
815,"Who died first, Marguerite De Navarre or Leo Lankinen?",Leo Lankinen.,Marguerite De Navarre
816,Which award the director of film Swapnabhumi earned?,Royal Norwegian Order of St. Olav.,Ekushey Padak
817,Where did Elizabeth Tudor (1492–1495)'s mother die?,York.,Tower
818,What is the place of birth of Claudia Rodríguez De Castellanos's husband?,The context does not provide the place of birth for César Castellanos Domínguez.,Bogotá
819,"Are both mountains, Yana Urqu (Q'Umirqucha) and Puka Rumi, located in the same country?",Yes.,yes
820,"Which film has the director born earlier, The Belle Of Broadway or Count Varenne'S Lover?",Count Varenne's Lover.,Count Varenne'S Lover
821,"Which film has the director died first, Hit Parade Of 1943 or Mr. Reeder In Room 13?",Mr. Reeder In Room 13.,Mr. Reeder In Room 13
822,"Which film came out earlier, To Touch The Soul or Contragolpe?",To Touch The Soul.,Contragolpe
823,"When did John Brabazon, 10Th Earl Of Meath's father die?",26 May 1887.,4 January 1790
