,questions,answers,correct_answers
568,What is the date of birth of Mohammed Bin Nawwaf Bin Abdulaziz's father?,[Final Answer]: Unable to provide an answer with the given context.,16 August 1932
569,What is the place of birth of the director of film Encino Man?,"Albuquerque, New Mexico.","Albuquerque, New Mexico"
570,"Which film has the director born later, Song Of The Open Road or Campaign Of Hate: Russia And Gay Propaganda?",Campaign Of Hate: Russia And Gay Propaganda.,Campaign Of Hate: Russia And Gay Propaganda
571,"Which film has the director who died later, The Olsen Gang In Jutland or Pathala Bhairavi?",The Olsen Gang In Jutland.,The Olsen Gang In Jutland
572,Who is Marcus Aemilius Lepidus (Executed 39)'s father-in-law?,Caligula.,Germanicus
573,"Which film came out earlier, The Champion Of Pontresina or The Bulleteers?",The Bulleteers.,The Champion Of Pontresina
574,Where was the place of burial of Kunigunde Of Poland's father?,Wawel Cathedral.,Wawel Cathedral
575,Who is Charles Xiii Of Sweden's paternal grandfather?,King Adolf Frederick of Sweden.,"Christian August of Holstein-Gottorp, Prince of Eutin"
576,Which country the performer of song I Might Have Been Queen is from?,United States.,Swiss
577,"Who is the maternal grandfather of Conan Ii, Duke Of Brittany?","Alan IV, Duke of Brittany.","Odo II, Count of Blois"
578,Where was the wife of Pierre-Marie Gault De Saint-Germain born?,Warsaw.,Warsaw
579,"Who is Henri Ii, Duke Of Nemours's paternal grandfather?",Jacques of Savoy.,Jacques
580,"Which film whose director was born first, Gangster'S Boy or Torno A Vivere Da Solo?",Gangster'S Boy.,Gangster'S Boy
581,"Which film was released more recently, Il Marchio Di Kriminal or Nandhi?",Nandhi.,Nandhi
582,Where did Sultan Walad's father die?,Konya.,Konya
583,Where was the director of film Mister Scarface born?,"San Ferdinando di Puglia, Italy.",San Ferdinando di Puglia
584,Where was the place of death of Salin Mibaya's husband?,Deir el-Medina.,Pyay
585,Are Paris Sewer Museum and Musée National Des Douanes located in the same country?,Yes.,yes
586,"Which film has the director died first, Let'S Live Again or Kummatty?",Let'S Live Again.,Let'S Live Again
587,"Which film has the director who was born earlier, Thalapathi or Pour La Peau D'Un Flic?",Pour La Peau D'Un Flic.,Pour La Peau D'Un Flic
588,Who is Tekle Haymanot Ii's paternal grandfather?,Iyasu I.,Iyasu I
589,Where was the place of burial of the director of film Broadway Bad?,Westwood Village Memorial Park Cemetery in Los Angeles.,Westwood Village Memorial Park Cemetery
590,"What is the date of death of Matilda Of Boulogne, Duchess Of Brabant's mother?",25 July 1182.,25 July 1182
591,"Are Xavier Catholic College, Llandilo and Toowoomba Anglican School located in the same country?",Yes.,yes
592,What is the place of birth of the performer of song Are You Really Mine??,"Camas, Washington.",Camas
593,What nationality is Cecilia Renata Of Austria's husband?,Polish.,Polish–Lithuanian Commonwealth
594,"Which film has the director born first, 84 Charing Cross Road (Film) or Emperor'S Ball?",Emperor's Ball.,Emperor'S Ball
595,Do director of film Just Married (1934 Film) and director of film The Thirteenth Commandment share the same nationality?,No.,yes
596,Who is the paternal grandfather of Eochaid Ailtlethan?,Fíachnae mac Báetáin.,Connla Cáem
597,Are Les Misérables (1917 Film) and The Better 'Ole (1926 Film) both from the same country?,Yes.,yes
598,"What is the date of birth of Francis Otto, Duke Of Brunswick-Lüneburg's father?",1497.,27 June 1497
599,Where was the director of film The Naked Angel born?,"Santiago, Chile.",Santiago del Estero
600,"Which film was released first, Assault On Dome 4 or The Battle Of The Rails?",The Battle Of The Rails.,The Battle Of The Rails
601,Where was the place of burial of Pareherwenemef's mother?,Valley of the Queens.,QV66
602,Who is the maternal grandfather of Princess Helena Adelaide Of Schleswig-Holstein-Sonderburg-Glücksburg?,"Friedrich, Duke of Schleswig-Holstein-Sonderburg-Glücksburg.","Frederick VIII, Duke of Schleswig-Holstein"
603,"Who was born later, Zhang Mengying or Wolfgang Herrndorf?",Zhang Mengying.,Zhang Mengying
604,Which country Jessie Harlan Lincoln's father is from?,United States.,American
605,"Which film whose director is younger, Maine Pyaar Kyun Kiya? or Children Of The Streets?",Maine Pyaar Kyun Kiya?,Maine Pyaar Kyun Kiya?
606,"Where was the father of George Howard, 4Th Earl Of Suffolk born?",Saffron Walden.,Saffron Walden
607,"Which film has the director who was born later, Enjoy Yourselves or A Song To Remember?",Enjoy Yourselves.,A Song To Remember
608,Where was the mother of Elizabeth Stafford born?,Bethlehem.,English
609,What is the place of birth of the performer of song If You Want To Be My Woman?,Oildale.,Bakersfield
610,"Which film was released more recently, Hit Of The Show or The Incredibly Strange Creatures Who Stopped Living And Became Mixed-Up Zombies?",Hit Of The Show.,The Incredibly Strange Creatures Who Stopped Living And Became Mixed-Up Zombies
611,Who is the spouse of the performer of song Neurotic Society (Compulsory Mix)?,Jason Momoa.,Rohan Marley
612,Where was the director of film Veera Thalattu born?,Mallingapuram.,Theni
613,"Which film has the director born later, Tell It To The Bees or House Of The Black Death?",Tell It To The Bees.,Tell It To The Bees
614,Which country the director of film Brecha (2009 Film) is from?,France.,Argentine
615,Where was the place of death of the director of film Basta Guardarla?,Rome.,Rome
616,"Which film has the director who died earlier, The Third Visitor or The Dangerous Dude?",The Third Visitor.,The Third Visitor
617,Who is the spouse of the director of film Min Kone Er Uskyldig?,"The question does not provide enough information to determine the spouse of Johan Jacobsen, the director of the film ""Min Kone Er Uskyldig.""",Annelise Hovmand
618,"Which film has the director born earlier, Amityville 3-D or The Soul'S Cycle?",Amityville 3-D.,The Soul'S Cycle
619,Where was the husband of Princess Alexandra Of Anhalt born?,,Rudolstadt
620,"Which film has the director who died later, Bloody Moon or The House Of Pulcini?",Bloody Moon.,Bloody Moon
621,"Which film was released more recently, Behind Locked Doors or Crossing Delancey?",Behind Locked Doors (1991).,Crossing Delancey
622,Are both directors of films The Black Corsair (1937 Film) and Paths Of War from the same country?,Yes.,yes
623,"Which film whose director is younger, Beat Girl or The White Squaw?",Beat Girl.,Beat Girl
624,"Which film has the director died earlier, Remember The Day or Cast Up By The Sea?",Cast Up By The Sea.,Cast Up By The Sea
625,Which country Princess Katherine Of Greece And Denmark's mother is from?,Germany.,German
626,Where was the director of film House In The Sun born?,"The context does not provide information about the director of the film ""House In The Sun"" or their birthplace.",Béziers
627,"Do the movies Sweet Mama (Film) and Soy Andina, originate from the same country?",No.,yes
628,Where does the director of film Die Abfahrer work at?,Dortmund University of Applied Sciences and Arts.,Dortmund University of Applied Sciences and Arts
629,"Who is the paternal grandmother of Charles Stuart, 1St Earl Of Lennox?",Margaret Tudor.,Elizabeth Stewart
630,What is the cause of death of director of film She Asked For It?,Parkinson's disease.,Parkinson
631,"Who is Maurice De Berkeley, 4Th Baron Berkeley's maternal grandfather?",Hugh Despenser the younger.,"Roger Mortimer, 1st Earl of March"
632,"Which country Æthelwald, Ealdorman Of East Anglia's wife is from?",England.,English
633,"Which film whose director is younger, Vadakakku Oru Hridayam or The $1,000,000 Reward?","The $1,000,000 Reward.",Vadakakku Oru Hridayam
634,Where was the director of film Blood Father born?,Paris.,Paris
635,Who is the spouse of the director of film Zabak?,Princess Auguste of Bavaria.,Fearless Nadia
636,"Which film has the director who died later, Valentin The Good or A Daughter Of Two Worlds?",A Daughter Of Two Worlds.,Valentin The Good
637,Where was the father of Maurice De Saxe born?,Dresden.,Dresden
638,"Which film has the director who was born later, Til Sæters or Ruben Guthrie?",Ruben Guthrie.,Ruben Guthrie
639,"Who was born later, Tsvetko Slavov or Marc Burrows?",Marc Burrows.,Marc Burrows
640,Who is Alexandra Of Lithuania's father-in-law?,Siemowit III.,"Siemowit III, Duke of Masovia"
641,What is the place of birth of the director of film The Blue And White Lion?,"There is no information provided about the place of birth of Werner Jacobs or Olf Fischer, the directors of ""The Blue and White Lion.""",Berlin
642,"Which film has the director who died later, The Monkey Talks or Varakatnam?",Varakatnam.,Varakatnam
643,What nationality is Claire Annabel Caroline Grant Duff's father?,British.,British
644,Where was the place of death of Princess Anne Charlotte Of Lorraine's mother?,Munich.,Commercy
645,Who was born first out of Pierre Gauvreau and Tit Liviu Chinezu?,Tit Liviu Chinezu.,Tit Liviu Chinezu
646,When is Princess Joséphine Marie Of Belgium's mother's birthday?,17 November.,17 November 1845
647,"Who is Infante Philip, Duke Of Calabria's paternal grandmother?",Maria Luisa of Savoy.,Elisabeth Farnese
648,Where was the place of death of the director of film We (1982 Film)?,Přerov.,Přerov
649,"Which album came out first, Sol Niger Within or The Magic Place?",Sol Niger Within.,Sol Niger Within
650,Which country the director of film Downloaded (Film) is from?,United States.,American
651,Are The Finches and She Drew The Gun both from the same country?,No.,no
652,"Where did Joanna, Duchess Of Durazzo's mother die?",Naples.,Neapolitan
653,Who is the father-in-law of Ri Sol-Ju?,Kim Jong-il.,Kim Jong-il
654,"Which film has the director died later, All The Sins Of The Earth or Women In The Wind?",Women In The Wind.,All The Sins Of The Earth
655,"Who was born first, Patrik Lácha or Brad Booth?",Brad Booth.,Brad Booth
656,Where was the place of death of Lin Liguo's father?,"Öndörkhaan, Mongolia.",Öndörkhaan
657,Where was the place of death of the director of film Valley Of The Giants (Film)?,"New York, New York.",New York
658,"Who is younger, Jonetani Ralulu or Andre Blay?",Jonetani Ralulu.,Jonetani Ralulu
659,Who is Fernando Rodríguez De Castro's paternal grandfather?,Fernando García de Hita.,Fernando García de Hita
660,"Which film came out earlier, Gran Torino or Rivaaj?",Gran Torino.,Rivaaj
661,"Which film has the director who died first, Everybody'S Hobby or One Sunday Afternoon (1948 Film)?",Everybody's Hobby.,Everybody'S Hobby
662,Where was the director of film The Wedding Video (2003 Film) born?,"Wakefield, Michigan.",American
663,"Who is Sir William Gore, 3Rd Baronet's paternal grandfather?","Sir Ralph Gore, 2nd Baronet.","Sir Paul Gore, 1st Baronet"
664,Who is the mother of the founder of university Libera Università Internazionale Degli Studi Sociali Guido Carli?,Virginia Agnelli.,Virginia Bourbon del Monte
665,Who is the spouse of the director of film Worldly Goods?,No information provided.,Jean Harlow
666,What nationality is the director of film Vortex (1976 Film)?,Australian.,Italy
667,Where was the place of death of Elisabeth Of Moravia's mother?,Brno.,Brno
668,"Who was born later, Charles Burls or George Hypolite?",George Hypolite.,George Hypolite
669,Who is the maternal grandfather of Princess Louise Of Belgium?,Frederick VIII of Denmark.,"Archduke Joseph, Palatine of Hungary"
670,"Which film was released more recently, Horas Marcadas or Tiny Times 3?",Tiny Times 3.,Tiny Times 3
671,Who is the paternal grandfather of Sultan Al-Dawla?,Rukn al-Dawla.,'Adud al-Dawla
672,Where did Mate Meštrović's father graduate from?,Academy of Fine Arts Vienna.,Academy of Fine Arts Vienna
673,Which country the director of film Funny Games (2007 Film) is from?,Austria.,Austrian
674,Where does the composer of film Rivers And Tides work at?,"Mills College in Oakland, California.",Mills College
675,What nationality is the director of film Top Floor Girl?,British.,French
676,Where did the director of film Polish-Russian War (Film) study?,National Film School in Łódź.,National Film School in Łódź
677,Where did Roberto Civita's father die?,São Paulo.,São Paulo
678,"What is the date of death of Fitzroy Somerset, 5Th Baron Raglan's father?",24 January 2010.,14 September 1964
679,What is the place of birth of the director of film Martial Law (1991 Film)?,Kurt Anderson was born in the United States.,Memphis
680,"Which film was released more recently, Last Of The Long-Haired Boys or Age Of The Dragons?",Age Of The Dragons.,Age Of The Dragons
681,"Which film was released more recently, How Poets Are Enjoying Their Lives or Os Faroleiros?",How Poets Are Losing Their Illusions.,How Poets Are Enjoying Their Lives
682,What is the place of birth of John F. Kennedy Jr.'s mother?,"Southampton, New York.",Southampton
683,Are both Flying Fifty-Five and Approaching Midnight from the same country?,No.,no
684,What nationality is the director of film Detachment (Film)?,British.,British
685,Where does the director of film Podokkhep work at?,Florida Atlantic University.,Florida Atlantic
686,Where does David Flair's father work at?,WCW.,Total Nonstop Action Wrestling
687,Are Half Mile Lagoon and Lake Waitaki both located in the same country?,No.,yes
688,Who was born first out of Misaele Draunibaka and Ross Clark?,Misaele Draunibaka.,Ross Clark
689,"What is the date of birth of Augustus Paulet, 15Th Marquess Of Winchester's father?",6 February 1858.,3 June 1801
690,Where was the father of Nigel De Brus born?,"Carrick, Ayrshire, Scotland.",Writtle
691,Who is Hye Of Baekje's paternal grandfather?,Muryeong of Baekje.,Muryeong
692,Are Car Trouble (Film) and White Heat (1926 Film) both from the same country?,No.,yes
693,"Which film has the director who is older, Dialogues Of Exiles or Rhythm And Weep?",Dialogues Of Exiles.,Rhythm And Weep
694,"Who is older, William Henry Rodes Green or Eleanor Of Lancaster?",Eleanor Of Lancaster.,Eleanor Of Lancaster
695,"Which film has the director who died earlier, In The First Degree or The Sea God?",The Sea God.,In The First Degree
696,"Who is the paternal grandfather of Gilbert De Umfraville, Earl Of Angus?",Richard de Umfraville.,Richard de Umfraville
697,"Who is the paternal grandmother of Reinald Iv, Duke Of Guelders And Jülich?",Sophie Berthout.,Joanna of Hainaut
698,"Which film has the director who died first, Another Language or Les Tontons Flingueurs?",Another Language.,Another Language
699,"Who is the paternal grandmother of Arthur Gore, 1St Earl Of Arran?",Elizabeth Annesley.,Anne Gore
700,"Which film was released earlier, Farewell To The King or Brother Liu And Brother Wang On The Roads In Taiwan?",Brother Liu and Brother Wang on the Roads in Taiwan.,Brother Liu And Brother Wang On The Roads In Taiwan
701,"Who lived longer, Bernhard Afinger or Melvin Kranzberg?",Bernhard Afinger.,Melvin Kranzberg
702,What is the place of birth of the director of film Samarpane?,Hunsur.,Hunsur
703,Where was the father of Princess Amelia Of Great Britain born?,Hanover.,Hanover
704,Where did Rudra Mohammad Shahidullah's wife study at?,Mymensingh Medical College.,Mymensingh Medical College
705,Are Walter E. Massey and Matt Horwich both from the same country?,No.,yes
706,What is the place of birth of the director of film A Gun & A Ring?,"Jaffna, Sri Lanka.","Jaffna, Sri Lanka"
707,"Who is Albert Iii, Prince Of Anhalt-Zerbst's paternal grandfather?","Albert I, Prince of Anhalt-Zerbst.","Albert I, Prince of Anhalt-Zerbst"
708,Where did Judith Of Swabia's mother die?,Trento.,Roman
709,Where was the place of burial of Karomama I's husband?,Tanis.,Tanis
710,Which award the performer of song Beating Heart (Ellie Goulding Song) got?,None.,BRIT Awards
711,What nationality is Prince Napoléon Bonaparte's father?,French.,French
712,Where was the founder of magazine Track & Field News born?,"San Diego, California.",San Diego
713,Why did the director of film Normande (Film) die?,Complications from Parkinson's disease.,Parkinson's disease
714,"Which film has the director born later, The Man Who Murdered or Newness?",Newness.,Newness
715,Where did the director of film The Price Of Everything study?,Yale University.,Yale
716,What is the place of birth of the director of film Venus Makes Trouble?,"St. Louis, Missouri.",Jerseyville
717,"Which film has the director who was born later, Meraa Dost Meraa Dushman or Miles From Home?",Miles From Home.,Miles From Home
718,"Which film has the director born earlier, Pieces Of A Woman or Oriental Nights?",Oriental Nights.,Oriental Nights
719,Was Dudley Russell or Juan René Serrano born first?,Dudley Russell.,Dudley Russell
720,"Which film has the director who died later, The Lady Owner or Behind Prison Gates?",The Lady Owner.,Behind Prison Gates
721,Who is Olga Constantinovna Of Russia's maternal grandfather?,Grand Duke Konstantine Nikolaevich of Russia.,"Joseph, Duke of Saxe-Altenburg"
722,"Which film has the director died later, Taipei Story or The Ballad Of Cossack Golota?",Taipei Story.,Taipei Story
723,Where did Oleg Kerensky's father die?,Paris.,New York
724,"Who died earlier, Chiang Chung-Ling or George Andreadis?",George Andreadis.,Chiang Chung-Ling
725,Where was the husband of Mok Kwai-Lan born?,"Foshan City, Guangdong Province.",Foshan
726,"Did the movies Afraid Of The Dark and Smiley (2012 Film), originate from the same country?",No.,no
727,Are both Enmelen and Yelshanka located in the same country?,No.,yes
728,What is the cause of death of performer of song Blues Run The Game?,Pneumonia.,pneumonia
729,Are Freestylers and The Nouvelles both from the same country?,No.,yes
730,"Which film has the director who was born later, Eradu Rekhegalu or The Gentleman From Nowhere?",Eradu Rekhegalu.,Eradu Rekhegalu
731,"Who is Eleanor Of England, Countess Of Leicester's paternal grandmother?",Eleanor of Aquitaine.,Eleanor of Aquitaine
732,Where was the director of film I'Ll Follow You Down born?,Mississauga.,Mississauga
733,Where was the place of burial of Princess Barbara Of Prussia's father?,Königsberg.,Esparza
734,"Which film has more directors, A Night Of Horror or The Whispering Shadow?",A Night of Horror.,A Night Of Horror
735,"Who is younger, Vedran Purić or Jenő Kuti?",Vedran Purić.,Vedran Purić
736,"Which film has the director died first, To Mary – With Love or Five Little Peppers And How They Grew?",To Mary – With Love.,To Mary – With Love
737,"Which film has the director born later, Where Are You? I'M Here or 11 Flowers?",Where Are You? I'M Here.,11 Flowers
738,Who is Countess Alexandra Von Zarnekau's paternal grandmother?,Princess Therese of Nassau-Weilburg.,Princess Therese of Nassau-Weilburg
739,"Which film was released earlier, Gangai Karai Paattu or God In Heaven... Arizona On Earth?",God In Heaven... Arizona On Earth.,God In Heaven... Arizona On Earth
740,"Where did Elisabeth Of Hesse, Electress Palatine's mother die?",Kassel.,Kassel
741,What is the place of birth of the performer of song Thru Your Phone?,"The Bronx, New York City.",Bronx
742,Where did Ulysses S. Grant Jr.'s father graduate from?,U.S. Military Academy at West Point.,Army
743,"Are the movies Amy (2015 Film) and Manhattan Angel, from the same country?",No.,no
744,What is the date of birth of Marie Jeanne Baptiste Of Savoy-Nemours's husband?,20 June 1634.,20 June 1634
745,Where was the director of film Rocket Attack U.S.A. born?,"Bakersfield, California.","Bakersfield, California"
746,When was the composer of song Hot Time In The Town Of Berlin born?,"March 14, 1848.","November 7, 1916"
747,Where was the place of burial of Lorenzo Cybo's mother?,St. Peter's Basilica.,St. Peter's Basilica
748,Are the directors of films Back To Back (1996 Film) and The White Hen both from the same country?,No.,yes
749,Where was the director of film Katka'S Reinette Apples born?,Dana Blankstein-Cohen was born in Israel.,Rēzekne
750,"Who is the paternal grandmother of Renaud Iii, Count Of Soissons?","Adelise, Countess of Soissons.","Adelaide, Countess of Soissons"
751,"Who is George Frederick, Count Of Erbach-Breuberg's paternal grandfather?","George III, Count of Erbach-Breuberg.","George III, Count of Erbach-Breuberg"
752,"Which film has the director died later, Dissolved And Effused or Here Comes The Groom?",Dissolved And Effused.,Dissolved And Effused
753,What is the place of birth of the director of film Chronicles Of A Dive Bomber?,Leningrad.,Leningrad
754,What nationality is the singer of Pre (Band)?,Japanese.,Japan
755,Who is Anna Of Nassau-Dillenburg (1541–1616)'s maternal grandmother?,Anna of Eppstein-Königstein.,Anna of Eppstein-Königstein
756,"Which film has the director who was born later, Fugitive Rage or Neapolitan Carousel?",Fugitive Rage.,Fugitive Rage
757,Who is the father-in-law of Prince Feodor Alexandrovich Of Russia?,Grand Duke Alexander Mikhailovich of Russia.,Grand Duke Paul Alexandrovich of Russia
758,Where did the director of film Battle Taxi die?,Los Angeles.,Moreno Valley
759,Are the directors of both films I Can'T Marry Them All and Come To The Stable from the same country?,No.,yes
760,Who was born first out of Johan Bardoul and Peter Seton Hay?,Peter Seton Hay.,Peter Seton Hay
761,"When did Philip Iii, Marquis Of Namur's father die?",31 January 1330.,31 January 1330
762,Who was born first out of Adnen Helali and Maria Poulsen?,Adnen Helali.,Adnen Helali
763,"Which film came out first, Legend Of The Sea Wolf or Irvine Welsh'S Ecstasy?",Legend Of The Sea Wolf.,Legend Of The Sea Wolf
764,Are both Lise Kristiansen and Bernt Lund from the same country?,No.,yes
765,What nationality is Kham Keut's father?,Libyan.,Lao
766,Where did the director of film 29+1 study?,Hong Kong Academy for Performing Arts.,Hong Kong Academy for Performing Arts
767,"Which film came out earlier, Desam or The Legend Of Paul And Paula?",The Legend Of Paul And Paula.,The Legend Of Paul And Paula
768,"Are the movies Seeing Red (1992 Film) and Wind From The Icy Country, from the same country?",No.,yes
769,"Are both mountains, Kunturwasa and Yerupaja Chico, located in the same country?",Yes.,yes
770,Which country the director of film Secrets Of A Door-To-Door Salesman is from?,United Kingdom.,United Kingdom
771,Where does the director of film The Witnesses work at?,France.,Cahiers du cinéma
772,"Which film has the director who was born later, Young Buffalo Bill or The Lacquered Box?",The Lacquered Box.,Young Buffalo Bill
773,What is the cause of death of director of film The Street Of Illusion?,"The context does not provide information about the director of ""The Street Of Illusion"" or their cause of death.",Parkinson
774,"Who was born first, Thomas Rolfe or Roger Miret?",Thomas Rolfe.,Thomas Rolfe
775,Where was the father of Benjamin Lewis Vulliamy born?,Switzerland.,London
776,Where did the director of film Bridge Over The Elbe die?,There is no information in the context provided about the death location of the director of film Bridge Over The Elbe.,Madrid
777,Where did the director of film Mary Jane'S Pa die?,"New York, New York.",New York
778,"Who lived longer, Claes-Ulrik Winberg or André Piters?",Claes-Ulrik Winberg.,André Piters
779,What is the place of birth of Danielle Lineker's husband?,Leicester.,Leicester
780,Who is the father-in-law of Graham Smith (Māori Academic)?,The context does not provide information about the father-in-law of Graham Smith (Māori Academic).,Hirini Moko Mead
781,Where was the father of Gwen Graham born?,"Coral Gables, Florida.","Coral Gables, Florida"
782,"Which country François Louis, Prince Of Conti's father is from?",France.,French
783,What nationality is the composer of film Count Your Blessings (1959 Film)?,French.,German
784,Where did the director of film A Daughter Of Two Worlds die?,"New York, New York.",New York
785,"Which film has the director who is older, This Love Of Ours or The Red Siren?",This Love Of Ours.,This Love Of Ours
786,Was Ralf Wohlleben or Ilya Tyapkin born first?,Ralf Wohlleben.,Ralf Wohlleben
787,"Which film has the director who is older than the other, One Woman To Another or Come On, Rangers? ",One Woman To Another.,One Woman To Another
788,"Which film has the director born earlier, Helluva Good Luck or The Last House On The Beach?",Helluva Good Luck.,The Last House On The Beach
789,"Which university was established first, Universidad Autónoma De La Laguna or Penang Free School?",Penang Free School.,Penang Free School
790,Where was the performer of song Det Brinner Ett Ljus born?,"Hagfors, Sweden.",Hagfors
791,Who is Wenceslaus Of Żagań's paternal grandfather?,Henry V of Iron.,Henry VIII the Sparrow
792,Do both directors of films Assassin'S Creed (Film) and Two Brothers Running have the same nationality?,"The context does not provide information about the director of ""Two Brothers Running,"" so it cannot be determined if both directors have the same nationality.",yes
793,Do both films: America Ammayi and Professor Pyarelal have the directors from the same country?,Yes.,yes
794,Where was the director of film Naked Violence (Film) born?,"San Ferdinando di Puglia, Italy.",San Ferdinando di Puglia
795,"What is the date of birth of Archduke Karl Pius Of Austria, Prince Of Tuscany's mother?",7 September 1868.,7 September 1868
796,"Which film has the director died earlier, The Romantic Age or Anything Once?",The Romantic Age.,Anything Once
797,Are Salla Huancane and Ichhu Rutuna located in the same country?,Yes.,yes
798,"Who is the maternal grandmother of Isabel De Verdun, Baroness Ferrers Of Groby?",Joan of Acre.,Joan of Acre
799,"Which film has the producer died earlier, The Criminal (1960 Film) or A Soldier'S Oath?",A Soldier's Oath.,A Soldier'S Oath
800,"What is the place of birth of William Parr, 1St Marquess Of Northampton's mother?",Greens Norton.,Northamptonshire
801,What is the place of birth of Princess Lalla Meryem Of Morocco's mother?,Khenifra.,Khenifra
802,"Who is Louis Viii, Landgrave Of Hesse-Darmstadt's paternal grandmother?",Sophia Eleonore of Saxony.,Elisabeth Dorothea of Saxe-Gotha-Altenburg
803,Where was the performer of song Suicide Social born?,Alençon.,Alençon
804,"Which film has the director died first, Forty Years or Two Mules For Sister Sara?",Forty Years.,Forty Years
805,Who is the maternal grandfather of Agnès Of Navarre?,Louis X of France.,Louis X of France
806,Where was the place of death of the performer of song The Village Of St. Bernadette (Song)?,"Branson, Missouri.","Branson, Missouri"
807,What nationality is Nawrahta Minsaw's father?,Burmese.,Toungoo Empire
808,Where did the composer of film Port Djema study?,Sanjay Mishra studied at the Peabody Conservatory of Music.,Peabody Conservatory
809,"Where was the place of death of the director of film A Man, A Woman, And A Bank?","Santa Monica, California.","Santa Barbara, California"
810,"Which film has the director who was born later, Maneater Of Hydra or The Fighting Seabees?",Maneater of Hydra.,Maneater Of Hydra
811,When was the company that published The Rip Off Review Of Western Culture founded?,1969.,1969
812,When is the founder of university Vermont Studio Center 's birthday?,The context does not provide information about the founder of Vermont Studio Center's birthday.,"January 26, 1955"
813,"Which film has the director who died earlier, Macario Against Zagomar or The Galloping Fish?",The Galloping Fish.,The Galloping Fish
814,Where was the place of death of the director of film Never The Twain (Film)?,Tahiti.,"Hamburg, Germany"
815,"Who died first, Marguerite De Navarre or Leo Lankinen?",Marguerite De Navarre.,Marguerite De Navarre
816,Which award the director of film Swapnabhumi earned?,Meril Prothom Alo Critic Award.,Ekushey Padak
817,Where did Elizabeth Tudor (1492–1495)'s mother die?,Tower of London.,Tower
818,What is the place of birth of Claudia Rodríguez De Castellanos's husband?,[Final Answer]: Unable to provide an answer with the given context.,Bogotá
819,"Are both mountains, Yana Urqu (Q'Umirqucha) and Puka Rumi, located in the same country?",Yes.,yes
820,"Which film has the director born earlier, The Belle Of Broadway or Count Varenne'S Lover?",Count Varenne's Lover.,Count Varenne'S Lover
821,"Which film has the director died first, Hit Parade Of 1943 or Mr. Reeder In Room 13?",Hit Parade Of 1943.,Mr. Reeder In Room 13
822,"Which film came out earlier, To Touch The Soul or Contragolpe?",Contragolpe.,Contragolpe
823,"When did John Brabazon, 10Th Earl Of Meath's father die?",26 May 1797.,4 January 1790
824,"Which film has the director who was born first, Legend Of The Mountain or Three Men To Kill?",Legend Of The Mountain.,Three Men To Kill
825,Where was the place of burial of Cecilia Maria De Candia's mother?,Père Lachaise Cemetery in Paris.,Père Lachaise Cemetery
826,"Who is Adolf, Duke Of Bavaria's maternal grandfather?","Rupprecht, Crown Prince of Bavaria.",Adolph I
827,Where did Elizabeth Bruce's father die?,Beaulieu-sur-Loire.,Cardross
828,Where did the director of film The Cloister Of Martins die?,San Martino in Fermo.,Munich
829,Who is Grimoald The Younger's paternal grandfather?,Pepin of Herstal.,Ansegisel
830,"Are both bands, The Renegades (Band) and Second Hand (Band), from the same country?",No.,yes
831,Where was the director of film Bewitching Kisses born?,Australia.,Buenos Aires
832,"Who is Ailwyn Fellowes, 1St Baron Ailwyn's paternal grandfather?","Edward Fellowes, 1st Baron de Ramsey.",William Henry Fellowes
833,"Which film has the director who is older, Clash By Night or Porn In The Hood?",Clash By Night.,Clash By Night
834,Where was the performer of song Remember (John Lennon Song) born?,Liverpool.,Liverpool
835,Who was born first out of Eliza Ritchie and Benjamin Nash?,Benjamin Nash.,Benjamin Nash
836,What is the date of birth of Teddy Hart's father?,[Final Answer]: Unable to provide an answer with the given context.,1947
837,Did Lenny Mcallister and Ken Xie have the same nationality?,No.,yes
838,"Which album came out first, Kind Of Love or Around The Fur?",Around The Fur.,Kind Of Love
839,"Who died earlier, Charles Taze Russell or George Washington Bright?",Charles Taze Russell.,Charles Taze Russell
840,Who is Prince Hubertus Of Prussia's maternal grandfather?,"Frederick Francis III, Grand Duke of Mecklenburg-Schwerin.","Frederick Francis III, Grand Duke of Mecklenburg-Schwerin"
841,Where was the place of burial of the director of film The Secret Of Dr. Kildare?,Glendale's Forest Lawn Memorial Park Cemetery.,Forest Lawn Memorial Park
842,"What is the date of death of Frederick Michael, Count Palatine Of Zweibrücken's father?",25 December 1760.,3 February 1735
843,Who is Gaius Rubellius Blandus's father-in-law?,Tiberius.,Drusus Julius Caesar
844,"Which film was released earlier, Mercadet or Nangna Kappa Pakchade?",Mercadet.,Mercadet
845,"Which film has the director born earlier, I Learned It From Father or Sengottai Singam?",I Learned It From Father.,I Learned It From Father
846,Where was the place of death of the director of film Fight Of The Tertia (1952 Film)?,"There is no information provided in the context about the place of death of the director of the film ""Fight Of The Tertia (1952 Film)"".",Kreuth
847,Where was the husband of Dobrodeia Of Kiev born?,"Balabista (today ""Sidirokastro"") in Macedonia.",Macedonia
848,Who is the paternal grandfather of Casimir Ii Of Zator?,Casimir I of Oświęcim.,Casimir I of Oświęcim
849,"Which film has the director who died later, Stolen Identity or Them!?",Them!,Them!
850,What is the place of birth of the performer of song Git (Song)?,Kırklareli.,Kırklareli
851,Where was the place of death of the director of film Muchachos De La Ciudad?,Buenos Aires.,Buenos Aires
